交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注,交易日期,交易月份
2026-04-01 07:33:58,扫二维码付款,聚宝盆,收款方备注:二维码收款,支出,4.0,零钱,已转账,53110001428085202604013909626179,10001073012026040101729291907521,/,2026-04-01,2026-04
2026-04-01 11:53:56,扫二维码付款,欣缘,收款方备注:二维码收款,支出,6.0,零钱,已转账,53110001271020202604012501821179,10001073012026040101188300992575,/,2026-04-01,2026-04
2026-04-01 17:00:45,商户消费,小凯日尝,/,支出,11.6,零钱,支付成功,4500000139202604011968375464,10357505593417750340310103468500,/,2026-04-01,2026-04
2026-04-01 19:42:30,扫二维码付款,浓香现磨豆浆     没有外卖,收款方备注:二维码收款,支出,6.55,零钱,已转账,53110001334202202604010821590056,10001073012026040101028932172547,/,2026-04-01,2026-04
2026-04-02 07:49:32,扫二维码付款,聚宝盆,收款方备注:二维码收款,支出,3.0,零钱,已转账,53110001418138202604022165364391,10001073012026040201234164340621,/,2026-04-02,2026-04
2026-04-02 11:40:08,商户消费,林丹（聪聪面馆）,/,支出,9.0,零钱,支付成功,4500000120202604025279030381,10357500454717751012020152052701,/,2026-04-02,2026-04
2026-04-02 17:19:36,商户消费,林丹（聪聪面馆）,/,支出,11.0,零钱,支付成功,4500000111202604028331162546,10357498373017751215710166065600,/,2026-04-02,2026-04
2026-04-02 22:05:04,扫二维码付款,嘉大东区百货,收款方备注:二维码收款,支出,5.0,零钱,已转账,53110001277125202604020237270912,10001073012026040201746505051607,/,2026-04-02,2026-04
2026-04-03 07:46:41,扫二维码付款,聚宝盆,收款方备注:二维码收款,支出,4.0,零钱,已转账,53110001431183202604033773401883,10001073012026040301147167184594,/,2026-04-03,2026-04
2026-04-03 11:45:35,扫二维码付款,행운.&개구리밥,收款方备注:二维码收款,支出,12.5,零钱,已转账,53110001334089202604034257449941,10001073012026040301870153001508,/,2026-04-03,2026-04
2026-04-03 17:15:10,商户消费,美团,非烤勿扰韩料自助烤肉-美团App-26040311100300001308657582001128,支出,62.0,零钱,支付成功,4200003077202604039095518773,20260403171448U50159459861353089,/,2026-04-03,2026-04
2026-04-03 18:26:37,商户消费,北京鸿易博,先乘后付,支出,25.3,零钱,支付成功,4200003068202604033947486845,67MYpcpTEleKfMp2HyAg3zxxxxj9IjBx,/,2026-04-03,2026-04
2026-04-03 18:28:15,转账,粑粑,转账备注:微信转账,收入,1000.0,/,已存入零钱,1000050001202604030936019105144,/,/,2026-04-03,2026-04
2026-04-03 20:49:33,商户消费,北京鸿易博,先乘后付,支出,15.61,零钱,支付成功,4200003130202604035211081495,bfYSA8Mz1ggJC9XBME9XJxxxxxj7nxBx,/,2026-04-03,2026-04
2026-04-03 21:16:53,商户消费,高校图像信息采集,T2P17M-线下-集中采集-毕业采集-广东,支出,13.5,零钱,支付成功,4200003097202604037778747532,260403113994376411642360,/,2026-04-03,2026-04
2026-04-04 10:25:57,商户消费,梅州市老友面馆,梅州市老友面馆,支出,13.0,零钱,支付成功,4200003037202604047381123213,7895088000021623,/,2026-04-04,2026-04
2026-04-04 19:31:22,扫二维码付款,君记鲜味排档,收款方备注:二维码收款,支出,8.91,零钱,已转账,53110001381003202604043054555074,10001073012026040401814428316646,/,2026-04-04,2026-04
2026-04-04 19:34:45,扫二维码付款,炸吧炸串丨嘉大西门,收款方备注:二维码收款,支出,8.0,零钱,已转账,53110001389188202604041785627702,10001073012026040401865080349551,/,2026-04-04,2026-04
2026-04-04 19:42:24,扫二维码付款,嘉大东区百货,收款方备注:二维码收款,支出,3.0,零钱,已转账,53110001385181202604043409327448,10001073012026040401969339757585,/,2026-04-04,2026-04
2026-04-05 08:21:41,商户消费,上海瑶一瑶网络科技有限公司,订单支付,支出,3.5,零钱,支付成功,4500000148202604056366829655,5323597621260405,/,2026-04-05,2026-04
2026-04-05 08:46:50,商户消费,梅州市梅江区城北镇卫生院,梅州市梅江区城北镇卫生院（医保）,支出,85.0,零钱,支付成功,4200003124202604056988354924,20260405084649451550293220,/,2026-04-05,2026-04
2026-04-05 09:07:36,扫二维码付款,五里亭天津灌汤包,收款方备注:二维码收款,支出,5.0,零钱,已转账,53110001285144202604050925561816,10001073012026040501526160383633,/,2026-04-05,2026-04
2026-04-05 11:06:12,商户消费,梅州公交,0034(0M09660D)-No1-20260405110606,支出,2.0,零钱,支付成功,4200003113202604051551752162,100000562026040500862550248950,/,2026-04-05,2026-04
2026-04-05 11:15:27,扫二维码付款,美味鲜早餐,收款方备注:二维码收款,支出,10.0,零钱,已转账,53110001428089202604054241064186,10001073012026040501230348981547,/,2026-04-05,2026-04
2026-04-05 11:16:26,扫二维码付款,亮丽,收款方备注:二维码收款,支出,3.0,零钱,已转账,53110001385095202604050727063261,10001073012026040501224167192578,/,2026-04-05,2026-04
2026-04-05 18:44:17,扫二维码付款,君记鲜味排档,收款方备注:二维码收款,支出,8.91,零钱,已转账,53110001372027202604052746726490,10001073012026040501620276647504,/,2026-04-05,2026-04
2026-04-05 18:53:31,扫二维码付款,炸吧炸串丨嘉大西门,收款方备注:二维码收款,支出,9.0,零钱,已转账,53110001374045202604051581796759,10001073012026040501275712231579,/,2026-04-05,2026-04
2026-04-05 19:06:11,扫二维码付款,嘉大东区百货,收款方备注:二维码收款,支出,3.0,零钱,已转账,53110001411049202604054083139238,10001073012026040501913994471583,/,2026-04-05,2026-04
2026-04-06 10:03:16,商户消费,梅州市老友面馆,梅州市老友面馆,支出,15.0,零钱,支付成功,4200003122202604069857578786,7895088616998049,/,2026-04-06,2026-04
2026-04-06 11:04:14,扫二维码付款,嘉大东区百货,收款方备注:二维码收款,支出,3.5,零钱,已转账,53110001392086202604061629460379,10001073012026040601084984644557,/,2026-04-06,2026-04
2026-04-06 18:35:36,扫二维码付款,味来煮意,收款方备注:二维码收款,支出,10.0,零钱,已转账,53110001407131202604062350609024,10001073012026040601133895638585,/,2026-04-06,2026-04
2026-04-07 08:25:11,扫二维码付款,欣缘,收款方备注:二维码收款,支出,6.0,零钱,已转账,53110001410212202604072776524548,10001073012026040701824047777555,/,2026-04-07,2026-04
2026-04-07 12:12:50,商户消费,林丹（聪聪面馆）,/,支出,9.0,零钱,支付成功,4500000114202604075373806614,10357455377317755351640176561400,/,2026-04-07,2026-04
2026-04-07 12:15:01,商户消费,梅州市梅县区城东镇流新商务文印服务部,打印付款,支出,1.1,零钱,支付成功,4200003134202604078968155531,20260407110113130266224025429316,/,2026-04-07,2026-04
2026-04-07 16:48:58,商户消费,中铁网络,12306消费,支出,230.0,零钱,已退款(¥218.50),4200003099202604078134452999,M2026040776018069,/,2026-04-07,2026-04
2026-04-07 17:36:57,商户消费,淘宝平台商户,/,支出,9.8,零钱,支付成功,4446402580202604075732706273,13170600726040751716520907049,/,2026-04-07,2026-04
2026-04-07 22:55:18,转账,粑粑,转账备注:微信转账,收入,1000.0,/,已存入零钱,1000050001202604071230770836879,/,/,2026-04-07,2026-04
2026-04-08 12:09:42,商户消费,林丹（聪聪面馆）,/,支出,9.0,零钱,支付成功,4500000128202604084728714112,10357446769517756213740103621100,/,2026-04-08,2026-04
2026-04-08 16:00:36,扫二维码付款,嘉大东区百货,收款方备注:二维码收款,支出,5.0,零钱,已转账,53110001417139202604081082410338,10001073012026040801723478534570,/,2026-04-08,2026-04
2026-04-08 17:31:44,商户消费,淘宝平台商户,/,支出,13.03,零钱,支付成功,4424602572202604087243768551,13170600726040814741491907049,/,2026-04-08,2026-04
2026-04-08 17:38:30,商户消费,中铁网络,12306消费,支出,168.0,零钱,已退款(¥134.50),4200003024202604087346491108,M2026040884484956,/,2026-04-08,2026-04
2026-04-08 18:32:08,中铁网络-退款,中铁网络,中铁网络,收入,180.5,零钱,已退款¥218.50,50303906912026040846398905939,,/,2026-04-08,2026-04
2026-04-08 18:32:25,中铁网络-退款,中铁网络,中铁网络,收入,38.0,零钱,已退款¥218.50,50303906912026040833850239467,,/,2026-04-08,2026-04
2026-04-08 20:49:01,商户消费,梅州市梅县区城东镇流新商务文印服务部,打印付款,支出,2.1,零钱,支付成功,4200003131202604087948830685,20260408110113130266224037183064,/,2026-04-08,2026-04
2026-04-08 22:57:44,中铁网络-退款,中铁网络,中铁网络,收入,134.5,零钱,已退款¥134.50,50302806942026040816912726016,,/,2026-04-08,2026-04
2026-04-09 11:06:56,商户消费,梅州市老友面馆,梅州市老友面馆,支出,10.0,零钱,支付成功,4200003045202604092622891214,7895088605586096,/,2026-04-09,2026-04
2026-04-09 11:52:50,扫二维码付款,嘉大东区百货,收款方备注:二维码收款,支出,3.0,零钱,已转账,53110001266097202604093342358741,10001073012026040901102842629559,/,2026-04-09,2026-04
2026-04-09 17:55:18,商户消费,淘宝平台商户,/,支出,10.3,零钱,支付成功,4436102275202604095125469363,13170600726040983866692907049,/,2026-04-09,2026-04
2026-04-09 18:38:52,扫二维码付款,东区水果（嘉大店）,收款方备注:二维码收款,支出,6.5,零钱,已转账,53110001439243202604092783994978,10001073012026040901101788641608,/,2026-04-09,2026-04
2026-04-09 20:00:41,商户消费,中铁网络,12306消费,支出,211.0,零钱,支付成功,4200003102202604099036883367,M2026040993761848,/,2026-04-09,2026-04
2026-04-10 10:29:40,扫二维码付款,嘉大东区百货,收款方备注:二维码收款,支出,5.5,零钱,已转账,53110001256146202604101947384290,10001073012026041001697595434566,/,2026-04-10,2026-04
2026-04-10 14:43:39,扫二维码付款,东区水果,收款方备注:二维码收款,支出,9.8,零钱,已转账,53110001402041202604103050716850,10001073012026041001186871614584,/,2026-04-10,2026-04
2026-04-10 17:23:17,扫二维码付款,魔锋数码丨梅江店,收款方备注:二维码收款,支出,40.0,零钱,已转账,53110001430048202604103696702875,10001073012026041001085553967549,/,2026-04-10,2026-04
