交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注,交易日期,交易月份
2026-03-24 07:56:08,扫二维码付款,欣缘,收款方备注:二维码收款,支出,6.0,零钱,已转账,53110001428042202603241114468389,10001073012026032401085204018500,/,2026-03-24,2026-03
2026-03-24 11:48:49,商户消费,嘉应学院后勤服务集团,嘉应学院后勤服务集团-消费,支出,10.0,零钱,支付成功,4200003018202603241091615169,0320260324000358515583,/,2026-03-24,2026-03
2026-03-24 11:59:15,扫二维码付款,嘉大东区百货,收款方备注:二维码收款,支出,3.0,零钱,已转账,53110001418053202603241856240726,10001073012026032401552766010528,/,2026-03-24,2026-03
2026-03-24 16:24:25,微信红包,八哥酸辣粉,/,收入,0.01,/,已存入零钱,1000039901007603246361638052829,1000039901202603246361638052829,/,2026-03-24,2026-03
2026-03-24 17:21:32,商户消费,淘宝平台商户,/,支出,12.25,零钱,支付成功,4406102266202603243977814154,13170600726032497773931907049,/,2026-03-24,2026-03
2026-03-25 11:47:47,商户消费,嘉应学院后勤服务集团,嘉应学院后勤服务集团-消费,支出,11.0,零钱,支付成功,4200003105202603253641916300,0520260325000363972702,/,2026-03-25,2026-03
2026-03-25 12:04:50,扫二维码付款,嘉大东区百货,收款方备注:二维码收款,支出,3.5,零钱,已转账,53110001284157202603254174596832,10001073012026032501470579516621,/,2026-03-25,2026-03
2026-03-25 16:57:15,商户消费,好友会美食,/,支出,10.9,零钱,支付成功,4500000127202603254870939483,10357515160417744290290172367400,/,2026-03-25,2026-03
2026-03-26 08:13:49,扫二维码付款,欣缘,收款方备注:二维码收款,支出,6.0,零钱,已转账,53110001284004202603260523792990,10001073012026032601430298525617,/,2026-03-26,2026-03
2026-03-26 12:13:11,扫二维码付款,欣缘,收款方备注:二维码收款,支出,9.0,零钱,已转账,53110001401208202603261753149467,10001073012026032601375314099565,/,2026-03-26,2026-03
2026-03-26 18:14:59,商户消费,梅州市梅江区派一哒奶茶店,梅州市梅江区派一哒奶茶店-消费,支出,13.0,零钱,支付成功,4200003039202603262411855693,1120260326000371835332,/,2026-03-26,2026-03
2026-03-26 21:24:10,扫二维码付款,好朋友发室,收款方备注:二维码收款,支出,12.0,零钱,已转账,53110001288204202603263415479340,10001073012026032601516559786552,/,2026-03-26,2026-03
2026-03-27 07:46:31,扫二维码付款,聚宝盆,收款方备注:二维码收款,支出,3.5,零钱,已转账,53110001283205202603273192464325,10001073012026032701848204553595,/,2026-03-27,2026-03
